,unit_ID,school,variable,term,url,metadata_date
6,102553,Arizona State University-Tempe,st_reduce_hiring,hiring freeze,S,S
36,102553,Arizona State University-Tempe,st_reduce_hiring,open positions,S,S
40,102553,Arizona State University-Tempe,st_furlough_staff_faculty,furlough,S,S
41,102553,Arizona State University-Tempe,st_furlough_staff_faculty,staff furlough,S,S
52,102553,Arizona State University-Tempe,st_reduce_hiring,vacancies open,S,S
63,102553,Arizona State University-Tempe,st_reduce_hiring,deferred hiring deferred hiring of vacant positions,S,S
64,102553,Arizona State University-Tempe,st_voluntary_incentivized_staff_faculty_reduction,retirement incentives,S,S
78,102553,Arizona State University-Tempe,st_reduce_staff_and_faculty_support,suspend retirement contributions,S,S
82,102553,Arizona State University-Tempe,st_voluntary_incentivized_staff_faculty_reduction,early retirement,S,S
101,102553,Arizona State University-Tempe,st_furlough_staff_faculty,faculty furlough,S,S
111,102553,Arizona State University-Tempe,st_reduce_operational_spending,operational spending reductions,S,S
136,102553,Arizona State University-Tempe,st_reduce_operational_spending,reduce purchases,S,S
149,102553,Arizona State University-Tempe,st_reduce_operational_spending,reduce travel spending,S,S
153,102553,Arizona State University-Tempe,lt_reduction_or_elimination_of_academic_departments_programs,program cuts,S,S
165,102553,Arizona State University-Tempe,lt_reduction_or_elimination_of_academic_departments_programs,cut programs,S,S
174,102553,Arizona State University-Tempe,lt_reduction_of_institution_staff,layoff staff,S,S
180,102553,Arizona State University-Tempe,lt_reduction_of_athletic_spending_programs,cut athletics budget,S,S
181,102553,Arizona State University-Tempe,lt_reduction_of_institution_staff,staff cuts,S,S
182,102553,Arizona State University-Tempe,lt_reduction_of_institution_faculty,faculty cuts,S,S
186,102553,Arizona State University-Tempe,lt_reduction_of_institution_staff,cut staff,S,S
191,102553,Arizona State University-Tempe,lt_reduction_of_institution_staff,staff layoffs,S,S
192,102553,Arizona State University-Tempe,lt_reduction_of_athletic_spending_programs,athletics spending cuts,S,S
206,102553,Arizona State University-Tempe,lt_reduction_of_institution_faculty,faculty laid off,S,S
207,102553,Arizona State University-Tempe,lt_reduction_of_institution_faculty,layoff faculty,S,S
232,102553,Arizona State University-Tempe,lt_reduction_or_elimination_of_administrative_departments,administrative budget cuts,S,S
270,102553,Arizona State University-Tempe,lt_improve_student_experience_gr,offer amenities,S,S
307,102553,Arizona State University-Tempe,lt_improve_staff_faculty_support_gr,tenure,S,S
321,102553,Arizona State University-Tempe,lt_improve_staff_faculty_support_gr,promotions,S,S
